,accuracy,precision,recall,count
EPA1,0.8688879273041973,0.574245224892175,0.8104347826086956,1150
EPA2,0.9684119428818693,0.6749555950266429,0.9134615384615384,416
EPA3,0.9515361315447858,0.04559270516717325,0.40540540540540543,37
EPA5,0.9544208856195009,0.6732954545454546,0.8464285714285714,560
EPA6,0.9251406317611424,0.7018716577540107,0.9349955476402493,1123
EPA7,0.8710514928602336,0.1324110671936759,0.12835249042145594,522
EPA8,0.9962498197028703,0.23076923076923078,0.15789473684210525,19
EPA9,0.9290350497620078,0.5806831566548881,0.7837837837837838,629
EPA10,0.9991345737775854,0.0,0.0,5
EPA12,0.9927881148132122,0.5384615384615384,0.39622641509433965,53
EPA13,0.9847108034040098,0.010101010101010102,0.1111111111111111,9
